"Gender","Customer.Type","Age","Class","Flight.Distance","Inflight.wifi.service","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Baggage.handling","Checkin.service","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"Female","Loyal Customer",18,"Eco",908,3,4,4,3,4,3,3,4,5,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business",2160,2,2,2,4,4,5,4,4,4,5,0,0,"satisfied"
"Female","disloyal Customer",25,"Eco",110,2,2,3,2,2,2,2,5,2,4,17,15,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Eco",641,1,1,4,4,1,2,4,4,5,4,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",45,"Eco",996,3,3,1,5,3,5,5,4,1,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business",3018,1,1,1,5,5,5,5,4,4,5,4,8,"satisfied"
"Female","Loyal Customer",62,"Eco Plus",1846,3,4,5,3,4,3,3,3,3,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Eco",1096,1,0,4,5,0,5,5,4,4,1,23,35,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Eco",446,4,4,3,2,4,4,3,3,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",17,"Eco",733,1,1,3,4,1,4,4,2,3,4,0,21,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Eco",1504,2,3,3,5,4,5,1,1,1,5,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",49,"Business",666,1,1,4,3,1,2,3,4,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business",362,1,1,4,3,5,5,3,3,3,3,22,29,"neutral or dissatisfied"
"Male","Loyal Customer",12,"Eco",409,2,2,4,2,2,2,2,4,5,5,35,43,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",2065,1,3,3,3,2,1,1,1,1,3,47,28,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Eco",967,1,1,3,5,1,5,5,5,5,5,65,67,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business",581,4,4,4,2,4,4,4,4,4,3,0,0,"satisfied"
"Male","disloyal Customer",22,"Eco",679,4,4,4,4,4,4,4,5,5,3,13,13,"satisfied"
"Male","Loyal Customer",18,"Eco",919,5,4,3,1,4,1,1,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",41,"Business",1747,1,1,1,5,4,5,5,5,5,3,20,34,"satisfied"
"Male","Loyal Customer",52,"Eco",542,1,1,3,1,1,2,1,4,5,3,0,6,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Business",3780,1,4,4,1,1,1,1,3,2,2,1,1,"neutral or dissatisfied"
"Female","Loyal Customer",7,"Eco",888,2,2,3,5,2,5,5,5,4,4,0,4,"neutral or dissatisfied"
"Male","Loyal Customer",21,"Eco",391,2,2,4,5,2,5,5,2,4,4,21,16,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business",200,2,2,2,2,3,2,3,3,5,2,0,0,"satisfied"
"Male","Loyal Customer",39,"Eco Plus",719,2,2,2,2,2,2,2,4,4,3,51,79,"neutral or dissatisfied"
"Female","Loyal Customer",69,"Eco",992,2,2,2,2,4,5,5,5,5,5,31,14,"neutral or dissatisfied"
"Male","disloyal Customer",39,"Business",849,5,5,3,3,5,1,3,3,4,5,26,4,"satisfied"
"Female","Loyal Customer",46,"Eco Plus",1846,2,4,4,1,2,3,2,2,2,2,1,28,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Eco",674,4,4,1,5,4,5,5,2,5,1,1,9,"neutral or dissatisfied"
"Male","Loyal Customer",10,"Business",1514,3,3,3,3,3,3,3,3,3,2,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Eco",481,3,3,4,1,3,3,1,1,3,2,71,62,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Eco Plus",353,3,3,3,2,3,2,2,2,3,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Eco",846,5,2,2,5,5,5,5,1,2,5,39,30,"satisfied"
"Female","Loyal Customer",34,"Eco",862,2,2,4,5,2,5,5,3,4,3,33,18,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business",1813,3,3,3,5,5,5,5,5,2,5,68,57,"satisfied"
"Male","Loyal Customer",48,"Business",441,1,1,1,2,4,5,2,2,2,3,41,33,"satisfied"
"Male","Loyal Customer",29,"Business",2778,4,4,4,4,4,4,4,3,5,5,0,0,"satisfied"
"Male","Loyal Customer",45,"Eco",667,1,3,2,1,1,1,1,3,4,2,24,11,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Eco Plus",862,1,1,2,2,4,4,4,4,4,3,12,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business",405,1,1,1,3,5,4,4,4,4,5,6,0,"satisfied"
"Female","Loyal Customer",49,"Business",2429,1,1,1,5,5,2,5,5,5,5,0,0,"satisfied"
"Female","Loyal Customer",46,"Business",1766,3,3,3,4,4,4,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",50,"Business",3890,4,2,2,3,3,3,2,2,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business",3393,5,5,5,2,5,1,4,4,4,1,0,0,"satisfied"
"Female","Loyal Customer",46,"Business",646,2,4,4,1,4,4,2,2,2,2,10,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business",2008,3,3,3,4,4,4,4,5,5,3,0,0,"satisfied"
"Male","Loyal Customer",55,"Business",2752,1,1,1,5,4,4,5,5,5,3,0,0,"satisfied"
"Male","Loyal Customer",61,"Business",1720,2,1,2,5,2,3,4,4,4,3,74,97,"satisfied"
"Female","Loyal Customer",25,"Business",2680,3,3,3,4,4,4,4,3,4,3,0,0,"satisfied"
"Male","Loyal Customer",39,"Business",409,2,3,2,5,4,4,3,3,3,3,0,0,"satisfied"
"Male","Loyal Customer",66,"Business",1555,1,0,3,2,4,3,1,1,1,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business",273,4,3,4,4,4,4,4,4,4,5,36,58,"satisfied"
"Male","disloyal Customer",24,"Business",1046,4,4,1,4,4,3,4,3,4,5,13,0,"satisfied"
"Male","Loyal Customer",51,"Business",3807,3,5,5,5,1,1,3,3,3,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",907,4,4,4,2,4,5,5,5,5,4,2,0,"satisfied"
"Male","Loyal Customer",56,"Business",258,5,4,5,5,4,4,4,4,4,5,65,55,"satisfied"
"Male","Loyal Customer",39,"Business",442,1,1,1,5,5,5,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",39,"Eco",2402,3,3,2,5,3,5,5,4,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Eco",862,3,3,2,5,3,5,5,3,2,4,6,18,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Business",1847,3,3,3,2,4,5,5,5,5,5,0,0,"satisfied"
"Male","Loyal Customer",42,"Business",3624,2,2,2,3,2,1,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",21,"Eco",680,3,3,3,1,3,1,1,5,3,1,0,3,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Eco",1208,3,3,3,4,3,1,4,3,2,1,35,8,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business",3449,1,1,1,2,4,2,4,4,4,1,0,0,"satisfied"
"Male","Loyal Customer",46,"Business",2370,5,5,5,5,5,4,5,5,5,4,111,108,"satisfied"
"Female","Loyal Customer",32,"Eco",1306,4,4,3,5,4,5,5,1,2,3,2,0,"satisfied"
"Female","Loyal Customer",55,"Business",2383,2,5,2,3,4,5,4,4,5,3,0,0,"satisfied"
"Male","disloyal Customer",29,"Eco",1199,3,3,4,2,3,5,2,1,3,3,31,58,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Eco Plus",386,4,1,2,2,5,5,4,4,4,3,3,0,"satisfied"
"Female","Loyal Customer",67,"Eco",689,3,3,4,4,3,4,4,4,4,4,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",46,"Eco",1145,2,2,2,5,2,3,5,2,2,4,35,52,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Eco Plus",227,2,2,1,4,3,5,4,4,4,1,0,17,"neutral or dissatisfied"
"Male","Loyal Customer",9,"Eco",386,3,3,3,1,3,1,1,5,4,4,0,4,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business",1023,1,1,1,5,5,5,5,3,5,5,3,0,"satisfied"
"Male","Loyal Customer",41,"Eco",2521,3,5,5,3,3,3,3,2,2,3,67,48,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Eco",1874,4,4,4,2,4,2,2,2,3,1,3,0,"neutral or dissatisfied"
"Male","Loyal Customer",42,"Business",397,4,4,4,5,4,2,4,4,4,2,0,0,"satisfied"
"Female","Loyal Customer",49,"Business",2585,1,1,1,4,4,4,3,2,5,4,36,48,"satisfied"
"Female","Loyal Customer",65,"Eco",184,2,2,4,1,3,3,1,1,1,3,0,3,"neutral or dissatisfied"
"Male","Loyal Customer",65,"Business",2849,3,4,5,3,3,2,3,3,3,2,0,4,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business",3380,3,4,4,3,3,3,3,1,2,4,18,12,"neutral or dissatisfied"
"Female","Loyal Customer",71,"Business",431,3,5,5,4,3,2,3,3,3,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business",1158,3,3,3,3,5,2,5,5,5,3,0,0,"satisfied"
"Male","disloyal Customer",28,"Eco",554,3,2,2,4,2,4,4,5,2,5,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",28,"Eco",491,1,1,3,4,1,4,4,1,4,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",67,"Eco",633,3,1,5,3,3,4,3,3,3,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Eco",817,4,3,3,2,4,1,4,4,4,5,43,41,"satisfied"
"Female","Loyal Customer",12,"Eco",989,3,3,3,1,3,1,1,2,4,4,5,4,"neutral or dissatisfied"
"Female","disloyal Customer",49,"Eco",1072,3,3,3,4,3,4,4,2,4,1,55,73,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Eco",1979,3,3,2,3,3,3,3,2,2,1,2,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Eco Plus",592,2,3,4,3,3,3,3,3,1,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Business",3881,5,5,5,2,5,5,5,5,5,4,67,57,"satisfied"
"Male","Loyal Customer",48,"Eco Plus",937,0,0,4,1,0,1,1,3,3,3,0,0,"satisfied"
"Female","Loyal Customer",25,"Eco Plus",237,5,2,2,5,5,3,5,2,1,4,1,0,"satisfied"
"Male","Loyal Customer",47,"Business",528,5,5,5,5,4,4,2,2,2,4,64,53,"satisfied"
"Male","Loyal Customer",51,"Business",2486,4,4,4,3,4,4,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",37,"Eco",978,1,3,3,1,1,1,1,2,4,1,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",31,"Business",2077,3,3,3,4,3,4,4,5,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Eco Plus",377,5,1,1,5,5,5,5,4,1,2,97,82,"satisfied"
"Male","Loyal Customer",27,"Business",2773,1,0,4,2,0,2,2,3,3,2,7,6,"neutral or dissatisfied"
"Female","Loyal Customer",63,"Business",2771,2,2,2,3,5,5,5,5,5,4,2,0,"satisfied"
"Female","Loyal Customer",60,"Eco",447,3,2,1,3,4,4,4,4,5,4,28,24,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Eco",944,3,3,3,3,3,3,3,2,3,2,37,33,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Eco",281,4,3,3,4,4,4,4,1,4,2,0,0,"satisfied"
"Female","Loyal Customer",52,"Business",1438,3,3,3,5,5,5,5,5,5,4,0,0,"satisfied"
"Female","Loyal Customer",59,"Business",2044,3,3,3,5,5,5,4,4,4,4,0,7,"satisfied"
"Male","Loyal Customer",16,"Eco",262,1,1,3,3,1,3,3,1,4,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business",1918,3,1,3,4,2,2,5,5,5,3,0,0,"satisfied"
"Female","Loyal Customer",47,"Eco",1061,4,5,5,1,3,4,4,4,4,2,0,2,"neutral or dissatisfied"
"Female","Loyal Customer",66,"Eco Plus",349,2,2,5,3,5,5,1,1,1,5,0,3,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business",3864,1,1,1,5,5,5,4,4,4,4,0,0,"satisfied"
"Male","Loyal Customer",33,"Business",1440,4,2,4,5,5,5,5,4,4,5,0,0,"satisfied"
"Female","Loyal Customer",32,"Business",3483,1,2,2,1,1,1,4,2,3,1,178,175,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Eco",207,4,4,5,4,4,4,4,5,3,4,0,2,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business",3054,2,2,2,3,1,3,5,5,4,2,0,7,"satisfied"
"Female","disloyal Customer",23,"Eco",991,1,1,4,4,1,4,4,3,3,1,7,48,"neutral or dissatisfied"
"Female","Loyal Customer",27,"Business",628,2,2,2,4,4,4,4,5,4,5,46,51,"satisfied"
"Female","Loyal Customer",25,"Eco Plus",950,1,2,2,1,1,4,1,3,3,2,82,52,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Eco",591,4,4,1,4,4,4,4,2,5,5,3,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Eco",268,3,3,4,5,3,3,3,3,3,1,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business",1067,2,2,3,1,2,1,1,3,4,4,0,5,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Eco",1377,1,1,3,1,1,1,1,3,4,1,63,65,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business",2128,4,4,4,4,4,5,4,4,4,4,0,0,"satisfied"
"Female","Loyal Customer",70,"Business",2146,1,2,2,1,1,1,3,2,3,1,0,3,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business",216,0,0,4,1,0,1,1,3,5,3,0,0,"satisfied"
"Female","Loyal Customer",37,"Business",3403,1,1,1,5,4,4,4,4,5,4,0,0,"satisfied"
"Male","Loyal Customer",17,"Eco",423,4,4,2,4,4,4,4,3,3,3,16,1,"satisfied"
"Male","Loyal Customer",37,"Eco",825,4,1,1,4,3,4,4,4,3,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",11,"Eco",2419,3,3,3,3,3,3,3,2,5,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",16,"Eco",793,3,4,4,3,3,1,3,2,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business",546,2,2,2,5,4,5,5,5,5,3,0,0,"satisfied"
"Male","Loyal Customer",30,"Eco",1597,0,0,4,1,0,1,1,4,2,2,0,0,"satisfied"
"Male","disloyal Customer",27,"Business",511,4,4,5,5,4,1,5,3,5,4,35,24,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Eco",479,4,4,4,2,4,2,2,4,3,5,0,0,"satisfied"
"Male","Loyal Customer",37,"Eco",1733,2,2,5,1,2,1,1,4,4,5,0,1,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Business",3544,3,4,3,3,4,4,3,2,5,2,0,0,"satisfied"
"Male","Loyal Customer",36,"Eco",646,2,2,2,2,2,4,2,4,2,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Eco",1546,4,5,5,4,4,4,4,1,3,3,5,1,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Eco",479,3,3,3,2,3,2,2,4,2,4,6,0,"neutral or dissatisfied"
"Female","Loyal Customer",18,"Eco",300,2,4,3,2,4,2,2,1,4,2,41,27,"neutral or dissatisfied"
"Male","disloyal Customer",30,"Eco",944,3,3,2,2,3,2,2,5,4,1,94,73,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business",192,0,0,2,5,2,1,3,3,3,5,89,81,"satisfied"
"Male","Loyal Customer",85,"Eco",86,2,5,5,2,2,2,4,1,3,2,65,73,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Eco",1056,3,3,2,2,3,2,2,2,4,3,40,30,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Eco",226,4,4,1,3,5,4,5,5,5,3,0,1,"neutral or dissatisfied"
"Female","Loyal Customer",72,"Business",2991,2,5,3,1,2,3,2,2,2,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Eco",1121,5,5,5,2,4,2,5,5,5,1,71,61,"satisfied"
"Male","Loyal Customer",59,"Eco",990,1,1,2,5,1,5,5,3,5,3,11,3,"neutral or dissatisfied"
"Female","disloyal Customer",21,"Eco",1250,4,3,3,1,3,1,1,5,4,3,14,0,"satisfied"
"Female","Loyal Customer",31,"Eco",347,3,5,5,3,3,3,3,1,2,4,0,8,"neutral or dissatisfied"
"Male","disloyal Customer",19,"Eco",2065,3,3,4,4,3,4,4,3,3,3,4,11,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business",3226,0,0,1,2,4,4,2,2,2,4,0,0,"satisfied"
"Female","Loyal Customer",61,"Business",2337,2,4,4,3,3,3,2,2,2,4,76,71,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Eco",2300,3,3,4,3,3,3,3,3,4,5,0,5,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business",2134,2,3,3,3,4,3,2,2,2,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Business",844,5,5,5,5,4,5,5,1,4,3,14,23,"satisfied"
"Male","Loyal Customer",27,"Eco Plus",862,2,2,2,4,2,4,4,3,5,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",12,"Eco",223,3,3,4,4,3,4,4,3,3,3,13,6,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business",1874,1,1,1,1,1,1,1,1,2,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Eco",175,3,3,3,4,3,3,4,5,4,5,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Business",597,5,5,1,3,5,3,3,4,5,5,0,10,"satisfied"
"Female","Loyal Customer",42,"Business",472,4,4,4,2,4,5,5,5,5,5,0,0,"satisfied"
"Female","Loyal Customer",30,"Eco",1990,2,2,2,1,2,1,1,1,3,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",27,"Eco",1744,3,1,1,3,3,3,3,2,2,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business",3158,4,4,4,4,4,1,5,5,5,1,0,0,"satisfied"
"Female","Loyal Customer",38,"Business",764,1,1,1,2,5,4,4,4,4,4,1,0,"satisfied"
"Female","Loyal Customer",40,"Eco",1400,4,4,4,4,4,4,4,1,5,2,18,9,"satisfied"
"Female","Loyal Customer",39,"Business",2656,1,2,1,2,4,4,3,3,3,4,0,0,"satisfied"
"Female","Loyal Customer",70,"Eco",213,4,4,3,1,4,3,4,4,3,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Business",2329,4,4,4,4,4,4,4,4,5,3,7,11,"satisfied"
"Male","Loyal Customer",29,"Business",1519,2,2,2,5,5,5,5,5,5,5,6,4,"satisfied"
"Male","Loyal Customer",48,"Eco",1846,5,5,4,1,5,1,1,4,2,3,0,0,"satisfied"
"Male","disloyal Customer",38,"Eco",331,4,4,4,3,4,1,3,4,4,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",70,"Eco",1438,0,0,3,3,5,4,1,1,1,4,11,0,"satisfied"
"Female","Loyal Customer",52,"Business",200,5,5,5,3,5,4,4,4,5,5,0,6,"satisfied"
"Female","Loyal Customer",53,"Eco",468,4,4,1,5,2,5,4,4,4,5,0,0,"satisfied"
"Male","Loyal Customer",61,"Eco",546,2,2,4,1,2,1,1,1,4,2,47,49,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Eco Plus",268,5,5,5,5,5,5,5,4,2,4,0,3,"satisfied"
"Male","Loyal Customer",58,"Eco",397,5,4,3,5,5,5,5,3,4,5,0,0,"satisfied"
"Female","Loyal Customer",31,"Business",3965,2,2,2,4,4,3,4,4,3,3,0,0,"satisfied"
"Male","disloyal Customer",30,"Eco",693,3,3,4,4,3,5,4,2,4,3,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Eco",2174,3,3,3,2,4,3,3,3,3,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Eco",1546,1,2,2,1,1,4,1,2,3,4,10,8,"neutral or dissatisfied"
"Male","Loyal Customer",9,"Eco Plus",342,3,4,5,5,4,2,5,4,5,4,29,26,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Eco",749,2,2,4,3,2,3,3,2,1,2,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",36,"Business",918,4,4,2,2,4,2,2,4,4,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business",2898,2,2,2,4,4,4,4,5,4,4,0,0,"satisfied"
"Female","disloyal Customer",46,"Business",1287,4,4,3,3,4,3,3,4,5,3,0,0,"satisfied"
"Male","Loyal Customer",43,"Business",629,4,4,4,5,4,4,4,4,4,3,63,50,"satisfied"
"Female","Loyal Customer",46,"Eco",588,5,5,5,1,1,2,5,5,5,2,0,0,"satisfied"
"Male","Loyal Customer",66,"Business",2777,2,1,1,5,3,4,2,2,2,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",74,"Business",222,1,3,1,1,5,4,5,5,4,3,0,0,"satisfied"
"Male","Loyal Customer",20,"Eco",446,4,4,3,1,4,1,1,3,4,2,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",11,"Eco",187,1,1,5,4,1,4,4,4,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",236,5,5,5,4,5,4,5,5,5,4,0,0,"satisfied"
"Male","Loyal Customer",33,"Eco",134,1,2,2,1,1,1,1,1,4,3,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",39,"Business",391,5,5,1,4,5,4,4,4,5,4,88,79,"satisfied"
"Female","disloyal Customer",42,"Business",1725,3,3,4,3,3,3,3,4,4,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business",1754,5,5,5,4,4,4,5,5,5,3,67,74,"satisfied"
"Female","disloyal Customer",29,"Eco",852,3,3,3,4,3,4,4,4,3,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business",587,2,2,2,2,5,4,5,5,5,4,0,2,"satisfied"
"Male","Loyal Customer",9,"Business",853,1,1,2,5,1,5,5,4,4,5,68,76,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Eco",1652,1,1,4,5,1,5,5,3,4,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",30,"Eco",191,3,3,2,3,3,2,3,3,4,3,42,40,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Eco",280,1,1,4,4,1,4,4,3,4,4,36,35,"neutral or dissatisfied"
"Male","Loyal Customer",40,"Business",1565,3,5,3,5,4,5,5,5,5,5,11,23,"satisfied"
"Female","Loyal Customer",14,"Eco",592,2,2,4,2,2,2,2,5,4,1,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Business",316,3,3,1,4,3,5,4,5,5,3,12,9,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business",409,4,3,5,2,3,2,2,4,4,4,0,0,"satisfied"
"Male","Loyal Customer",56,"Eco",1222,4,4,2,4,4,4,4,1,3,1,61,90,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business",3034,1,1,1,4,5,5,4,4,4,5,0,0,"satisfied"
"Male","Loyal Customer",39,"Business",733,5,2,5,2,4,5,4,4,4,3,91,90,"satisfied"
"Female","Loyal Customer",66,"Eco",550,2,2,1,3,5,4,4,4,4,3,3,1,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business",1727,1,1,1,4,5,5,4,4,4,4,0,0,"satisfied"
"Female","disloyal Customer",18,"Eco",1068,3,3,2,2,3,2,2,4,4,5,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",66,"Eco",404,2,4,4,5,3,3,2,2,2,2,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business",399,5,5,5,4,5,5,4,3,1,5,175,191,"satisfied"
"Male","Loyal Customer",35,"Business",2187,1,1,1,5,5,4,4,4,4,5,0,3,"satisfied"
"Male","Loyal Customer",46,"Eco Plus",867,4,4,4,4,4,1,4,4,5,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Business",377,1,1,4,5,5,5,3,3,3,5,86,60,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Business",319,2,3,5,2,3,4,2,1,2,1,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Business",1310,4,4,4,3,5,5,5,5,5,3,69,48,"satisfied"
"Male","disloyal Customer",44,"Eco",1281,1,1,4,4,1,4,4,1,2,2,12,10,"neutral or dissatisfied"
"Male","Loyal Customer",64,"Eco",680,2,4,4,2,2,2,2,1,3,3,0,4,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Eco",1416,3,2,2,3,3,3,3,3,3,3,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Eco Plus",412,2,2,3,1,2,1,1,3,4,5,68,48,"neutral or dissatisfied"
"Male","Loyal Customer",52,"Eco",613,4,1,1,4,4,4,4,5,4,2,0,0,"satisfied"
"Female","disloyal Customer",47,"Business",447,2,2,1,4,2,4,4,3,4,5,0,0,"neutral or dissatisfied"
"Female","disloyal Customer",39,"Business",2556,4,4,3,3,4,3,3,2,3,1,1,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Eco",1009,3,3,1,5,3,3,3,3,3,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",14,"Eco",692,3,3,2,5,3,5,5,3,4,3,21,3,"neutral or dissatisfied"
"Female","Loyal Customer",67,"Eco",2125,2,1,2,1,3,1,3,3,3,3,0,1,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Eco",406,1,1,4,4,1,4,4,2,4,4,1,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business",2089,3,4,3,3,4,5,4,4,4,3,0,0,"satisfied"
"Female","Loyal Customer",39,"Business",876,4,1,4,4,4,4,4,4,4,3,0,0,"satisfied"
"Male","Loyal Customer",65,"Eco",502,3,3,3,1,3,1,1,3,5,4,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Eco",529,5,3,3,5,5,5,5,3,2,4,53,52,"satisfied"
"Female","Loyal Customer",32,"Eco Plus",493,2,2,2,2,2,2,2,2,3,1,0,0,"neutral or dissatisfied"
"Male","disloyal Customer",43,"Business",541,2,2,5,3,2,3,3,5,5,4,0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business",3993,5,5,5,4,4,5,4,4,4,4,2,0,"satisfied"
"Male","Loyal Customer",12,"Business",1390,2,2,2,4,4,4,4,4,4,4,15,0,"satisfied"
"Male","Loyal Customer",23,"Business",2166,3,3,3,5,5,5,5,5,5,4,1,0,"satisfied"
"Female","disloyal Customer",25,"Business",562,2,2,1,4,2,4,4,5,4,5,6,0,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Business",1740,3,3,3,5,5,5,5,3,4,5,6,0,"satisfied"
"Female","Loyal Customer",19,"Eco",472,3,3,4,4,3,4,4,1,4,4,35,23,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business",3728,0,0,3,2,5,4,2,2,2,5,3,0,"satisfied"
"Male","Loyal Customer",27,"Eco",1530,3,3,1,3,3,3,3,4,5,5,0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business",3905,1,1,1,5,4,5,5,5,5,5,27,20,"satisfied"
